YEAR,TITLE,LECTURER,MAJOR,LOCATION,DESCRIPTION,START,END,TIME,APPOINTMENT,CREDIT,CONTACT
2025ss,Typography 2: DRAMA!,Abdelhamid Ameur,Communication Design,R. 216,"SCENE I Trust me, 9Pt should be enough. (The typeface wears confidence as its guise. With tracking at most by ten either side) Test me not! From eighty to one hundred and twenty in wordly space, no meandering rivers in sight! (We “see,” “hear,” “feel” what we read as we flow forward, line after line.) SCENE II (Rhymes are ragged and reasons justified, quotation marks speak with surprising accents, interrupted by dashes and pivoted by punctuation marks. Margins and footnotes murmur in passing tones, from seven to nine points, aligning solemnly every fourth line. Yet headlines, though styled similar to the text, command a respect most distinct.) Pray, tell me: where shall I commence my reading? Where continue thereafter? Hast thou deceived me? SCENE III (Paragraphs mount like high battlements to form columns—a structure, rhythmic and repeated within set rules, though uncertain if it will yield unto the march of time. Non-linear tales unfold as thou flip pages hither and thither.) Will it align with fate? Will it fall? What is happening? (A confrontation, suspense, catalysts, climax, resolution — DRAMA!) EPILOGE In this seminar we will work with classical and modern drama, borrowing concepts from dramaturgy to work with micro- and macrotypography, designing publications that we use to perform readings.",28.04.2025,21.07.2025,10:00 - 16:00,Mondays weekly,Leistungsschein Kommunikationsdesign,aameur(at)hfg-karlsruhe.de
2025ss,Pre/Diploma Colloquium (KD),"Prof. Paul Bailey, Juliane Hohlbaum",Communication Design,tba,"Over the course of the summer semester we will host four sessions, each tailored to a specific stage and requirement of the Pre/Diploma exam. The sessions are devised as moments of collective review and to address some of the key challenges/opportunities you may encounter while developing an independent project. Throughout we will refer to a range of perspectives on research-oriented practices; share projects-in-progress; exercise modes of peer-review and critique; and receive contributions from alumni and professors. The colloquium runs alongside the supervision you must organize with the Professors who will examine your Pre/Diploma independently. Note: This colloquium is tailored to the needs and expectations of the KD students graduate exam. That said, all are welcome to join and participate in the sessions, if you feel it may be useful.",30.04.2025,16.07.2025,"10:00 - 17:00 (Session 1), 10:00 - 13:00 (Sessions 2–4)","Session 1: 30.04., 10:00 - 17:00 — Session 2: 15.05., 10:00 - 13:00 — Session 3: 18.06., 10:00 - 13:00 — Session 4: 16.07., 10:00 - 13:00",Kein Scheinerwerb möglich,"pbailey(at)hfg-karlsruhe.de, jhohlbaum(at)hfg-karlsruhe.de"
2025ss,Gradual Constructions,Prof. Paul Bailey,Communication Design,tba,"If there is something you want to know and cannot discover by meditation, then, my dear, ingenious friend, I advise you to discuss it with the first acquaintance whom you happen to meet. He need not have a sharp intellect, nor do I mean that you should question him on the subject. No! Rather you yourself should begin by telling it all to him. — On the Gradual Construction of Thoughts During Speech, Henrich von Gleist In this short text, Henrich von Gleist challenges the idea that speech is simply the act of conveying preformed ideas by describing his own practice of 'talking to think'. I propose a series of ‘gradual construction’ sessions where each participant is offered an opportunity to engage in the practice of ‘talking to think’ with a focus on a challenging aspect of your current projects i.e. an aspect you are stuck with or lost within. We will call upon the skills and expertise of the group to bring your thoughts into action, practically. Arrive prepared to introduce your current thoughts/challenges and we’ll take it from there. Attendance and participation in all sessions is required to acquire the scheinerwerb.",19.05.2025,03.07.2025,"14:00 - 17.00 (Session 1, 19.05.), 14:00 - 17:00 (Session 2, 18.06.), 10:00 - 13:00 (Session 3, 03.07.)","Session 1: 19.05., 14:00 - 17:00 — Session 2: 18 .06., 14:00 - 17:00 — Session 3: 03.07., 10:00 - 13:00",Workshop-Nachweis Kommunikationsdesign,pbailey(at)hfg-karlsruhe.de
2025ss,On Porosities of/by Design,"Prof. Tereza Ruller, Prof. Paul Bailey",Communication Design,tba,"'A queer::eco::poetics holds on simultaneously to the outsider status of queerness while working to disrupt the distinctions between outside and in, natural and unnatural, normal and freakish. A poetics of the porous.' – Tamiko Beyer, Notes towards a queer::eco::poetics This workshop will take shape through a series of broadcasts ‘in’ the radio with LungA Radio, where—through a number of ‘call and response’ cycles - we will collectively enquire into ‘porosities of/by design’. A key moment of the workshop will take place during a five-day residency at Somalgors74 (CH), where we will venture into the surroundings of Tschlin, and its neighbouring regions, as our site of enquiry. The terrain we will engage with is not merely a backdrop but an active participant in the unfolding of the workshop—a hybrid space where human and non-human ‘actors’ come into play. Through a series of guided workshops, independent research, and collaborative exchanges, we will develop a series of ‘facades’ across multiple formats ranging from printed publications, to augmented ""Fasciadas,"" to exhibitions at various sites (Tschlin, CH; Karlsruhe, DE; and online). These facades will serve as both a reflection and an active mechanism in the practice of communication design, exploring how these ‘porosities’ manifest not only in theory but in practice—spanning the boundaries of media, place, and interaction. Please join us at the semester launch where we will share further information about the programme for the workshop, as well as the key logistics (travel, costs, etc). Please note: The capacity is limited for this workshop. Key Dates: 16 June (tbc): Session 1, briefing and broadcast 1 with LungA Radio 23-28 June: Session 2, Residency at Somalgors, CH 24-27 July: Contribution to Rundgang at HfG Karlsruhe, DE (tbc) Supervision meetings will take place throughout the semester during Single Talk sign-up sessions.",16.06.2025,27.07.2025,All sessions will take place 10:00 - 17:00 unless otherwise stated.,"16.06. (tbc): Session 1, briefing and broadcast 1 with LungA Radio | 23.-28.06.: Session 2, Residency at Somalgors, CH | 24.-27.07.: Contribution to Rundgang at HfG Karlsruhe, DE (tbc) | Supervision meetings will take place throughout the semester during Single Talk sign-up sessions.",Workshop-Nachweis Kommunikationsdesign,"truller(at)hfg-karlsruhe.de, pbailey(at)hfg-karlsruhe.de"
2025ss,Exercises in Style,Prof. Isabel Seiffert,Communication Design,tba,"One story, told ninety-nine times, each in a different style. In 1947, Raymond Queneau published this collection of retellings under the title Exercises in Style, featuring a version written in “Dog Latin”, another like a dream and yet another as a Haiku. Style is like a dialect—it is contextual and not everyone understands it. It acts as a signal, addressing a particular audience. Style can alter meaning; it can even be the message itself. Hail back to Marshall: the Medium is the Message! In this three-part evening colloquium, we will train our visual rhetoric and explore the possibilities of graphic languages.",07.05.2025,15.07.2025,17:00 - 19:00,"Wednesday, 07.05., Wednesday, 04.06., Tuesday, 15.07.",Workshop-Nachweis Kommunikationsdesign,iseiffert(at)hfg-karlsruhe.de
2025ss,Mark my words!,Prof. Isabel Seiffert,Communication Design,tba,"An ancient technology—so ubiquitous that we hardly recognise it as one—is among the most disruptive technologies in our history: the alphabet. Yet, it is a technological invention that is fundamental to a vast array of our collective habits and cognitive patterns. As David Abram argues, it was so integral to the development of society in the Western Hemisphere that we should refer to it as Alphabetised civilisation rather than Western civilisation. When oral cultures became literate, the land, animals, and plants fell silent—as if our senses, so naturally attuned and alert to perceiving the world around us, needed to redirect all their animating magic [Abram] to the flat surface of the page—to the written word. For as we read, we hear the sounds the words represent, and we listen to the conversation as our eyes take it in, in the form of glyphs and letters. To learn this new magic, we had to turn away from our wide range of perception and our ability to communicate with and sense other beings. We turned to ourselves and we turned inward. In antiquity, in the Greco-Roman world, reading was an oral practice, often in settings of public speaking. Texts were not meant to be read silently and individually, so they did not require structural indications. The introduction of word spacing in Western civilisation came much later, coinciding with the rise of silent reading in the 7th to 9th centuries and driven mostly by Irish and Anglo-Saxon scribes. Word spacing originally served as a guide, indicating a pause—a moment to take a breath. These spaces became the alphabetization of silence. As the written word spread far and wide, largely replacing oral transmission, its growing importance created a need for additional signs and symbols to convey tone of voice, structure, and rhythm. Punctuation derives from the Latin punctum, meaning being pierced or punctured. It is a phenomenon of the written language and was largely a matter of personal style. Handwriting allowed for flexibility, fluidity and invention. Some signs and marks would be in fashion for a period of time, only to be replaced by something else. However, with the invention of the printing press in the 15th century, those murmuring symbols were frozen in time. Our repertoire of punctuation has remained largely unchanged for around 300 years. It seemed so definite and unchangeable—until the rise of digital communication. Texting on a phone or having a conversation through typing on a keyboard is one of the most disconnected bodily experiences. We cannot sense the visual cues on the face of the person we are speaking to, nor can we hear shifts in their tone of voice. In an effort to be as clear as possible, we resorted to screaming on our phones!!!! Aaaargh!!!! In this seminar, we will explore the role and evolution of punctuation marks, both historically and in contemporary use. Should we abandon them altogether, or reimagine their forms to enhance nuanced communication in an age where everyone is screaming with short cuts of language‽ Maybe we need more of them or make them the main act of a sentence? Let’s *pause*, take a breath, and allow these silent symbols to speak for themselves. Let’s do an exercise in style [Queneau]…",08.05.2025,22.07.2025,9:30 - 16:30,"Thursday, 08.05.,Tuesday, 20.05., Wednesday, 04.06., Thursday, 05.06., Monday, 30.06., Monday, 14.07., Tuesday, Presentation 22.07. (evening)",Leistungsschein Kommunikationsdesign,iseiffert(at)hfg-karlsruhe.de
2025ss,Meeting Grounds: Essay as Event,Prof. Paul Bailey,Communication Design,tba,"Meeting Grounds: Essay as Event is ‘active, collective, conversational, counter, ecological, hypothetical, incomplete, inconvenient, improvised, non-fiction, material, mobile, relational, resistant, revised, temporal, wayward, on-going…’ * This seminar invites investigation, and experimentation, with the visual essay as a verb (m/essaying), an event (a gathering) and as a social form for collective reasoning. Over the course of the seminar, we will explore essayistic strategies that bring the temporalities, materialities and opacities of language into view, and consider how they might be put to practical and critical use within contemporary practices of communication design. To do so, we will suspend resolve and engage in a practice of trying, failing, and of knowing-as-you-go. We will begin with a focus on ‘gathering materials’ to essay with, exercising modes of visual research/ing, reading, writing and compiling. The seminar will culminate with a collaborative live ‘gathering’, staged in the ZKM Pavilion. * Terms harvested from contributions to ‘Meeting Grounds: Essay as Event’ series, 2023-24.",29.04.2025,22.07.2025,"10:00 - 17:00 (Sessions 1, 3, 4, 5), 14:00 - 17:00 (Sessions 2, 6)",Session 1: 29.04. — Session 2: 14.05. & 15.05. (afternoons) — Session 3: 20.05. — Session 4: 17.06. — Session 5: 30.06. — Session 6: 15.07. (afternoon) — Set-up / Review: 22.07. (afternoon) — Presentation day: 23.07.,Leistungsschein Kommunikationsdesign,pbailey(at)hfg-karlsruhe.de
2025ss,Die Zukunft des Kunstmuseums,Matthias Bruhn (in Zusammenarbeit mit Frédéric Bußmann),Art Research and Media Philosophy,R. 112,"Obwohl Kunstmuseen neben anderen musealen Einrichtungen (z.B. für Naturkunde, Technik, Stadt- und Landesgeschichte) nur einen Teil des öffentlichen Sammlungs- und Ausstellungswesens ausmachen, ruhen auf ihnen besonders hohe gesellschaftliche Erwartungen. Ausgehend von den drängendsten ökonomischen, technischen und politischen Herausforderungen soll das Seminar daher die Besonderheiten des Kunstmuseums und seine möglichen Zukünfte diskutieren. Dies soll in thematischen Arbeitsgruppen geschehen, die sich der Institution Kunstmuseum als Architektur und Display, als Sammlung und Produktionsstätte sowie als Spiegel gesellschaftlicher Kräfte nähern. Je nach Zusammensetzung und Ablauf können die Ergebnisse zum Semesterende im Rundgang der HfG präsentiert und in Ausstellungen weiterentwickelt werden. Das Seminar findet statt in Zusammenarbeit mit Prof. Dr. Frédéric Bußmann, Direktor der Staatlichen Kunsthalle Karlsruhe, sowie mit Unterstützung durch Prof. Charlotte Eifler (MK) und Prof. Tereza Ruller (KD). Die Auftaktsitzung am 30.04. soll bereits mit einer Aufgabenstellung beginnen, die vorab bekanntgegeben wird. Die Studierenden werden gebeten, bis zur / in der Einführungswoche per E-Mail Kontakt mit den Lehrenden aufzunehmen. Für 11. bis 13. Juli 2025 ist eine Exkursion nach Rotterdam vorgesehen.",30.04.2025,23.07.2025,10:00 - 13:00,"Mittwochs, zweiwöchentlich",Leistungsschein Kunstwissenschaft,mbruhn(at)hfg-karlsruhe.de
2025ss,European Century,Matthias Bruhn,Art Research and Media Philosophy,R. 112,"Nach 1800 erreicht die europäische Expansion der Frühneuzeit einen ersten Höhepunkt, mit aufstrebenden Industrienationen, die weltweit um Territorien und Ressourcen konkurrieren, während sich in ihren Hauptstädten neue Lebensweisen und Gesellschaftsmodelle ausbilden. Nach 1914 ist dieses „lange 19. Jahrhundert“ schließlich in einer Welle von Kriegen und Diktaturen zuende gegangen. Der Historiker Hans Kohn hat es in den 1960er Jahren unter dem Titel „European Century“ als eine Epoche beschrieben, in der Nationalismus und Modernisierung eine Einheit bilden. Ausgehend von ausgewählten Werken des französischen Malers Édouard Manet (1832-1883), soll das Seminar zentrale gesellschaftliche Themen und Motive des 19. Jahrhunderts diskutieren, z.B. Restauration und Revolution, Bürgertum und Emanzipation, Sozialismus und Kolonialismus, Kulturkampf und Zensur, aber auch die künstlerische Verarbeitung von Traditionen und die fortschreitende Abstraktion in der bildenden Kunst. The seminar will be bi-lingual / die Veranstaltung ist zweisprachig (dt./engl.) angelegt.",29.04.2025,22.07.2025,10:00 - 12:00,"Dienstags, wöchentlich",Leistungsschein Kunstwissenschaft,mbruhn(at)hfg-karlsruhe.de
2025ss,Der animierte Text. Offenes Kolloquium für alle Fachgruppen,Matthias Bruhn,Art Research and Media Philosophy,R. 109,"Das Kolloquium soll sich mit der Konzeption, Gliederung und Abfassung von wissenschaftlichen Texten und anderen Textsorten befassen, die auch in Zeiten digitaler Textverarbeitung und KI-Anwendungen eine Herausforderung bleiben - beginnend mit der Entwicklung einer Fragestellung oder den daran anschließenden Recherchen und ihrer Eingrenzung. Die Veranstaltung steht Studierenden aller Fachgruppen und Semester offen und bietet Gelegenheit, eigene Projekte (inkl. Magister- und Diplomarbeiten) gemeinsam zu diskutieren. Unabhängig davon sollen im Laufe des Semesters auch einige kurze Schreibübungen abgehalten werden.",29.04.2025,22.07.2025,14:00 - 16:00,"Dienstags, wöchentlich",Kein Scheinerwerb möglich,mbruhn(at)hfg-karlsruhe.de
2025ss,"Das Sehen der Gewalt, die Gewalt des Sehens",Sami Khatib,Art Research and Media Philosophy,R. 112,"Sehen ist niemals neutral – so lautet eine zentrale Einsicht in der Geschichte der Kritischen Theorie. Visuelle Wissensmodelle und Epistemologien des Sehens haben Strukturen der Macht, Herrschaft und Gewalt informiert, geprägt und in Kraft gesetzt. Umgekehrt haben kritische und anti-hegemoniale Theorien diese Strukturen in Frage gestellt, indem sie auf „partiellen Perspektiven“ (Donna Haraway 1988) bestanden und die epistemische Gewalt thematisierten, die dem verdinglichenden Blick der herrschenden (politischen) Ökonomie und wissenschaftlichen Sichtweise eingeschrieben ist. Diese Debatten erinnern uns daran, dass „Theorie“ von der griechischen Wurzel „theorein“ stammt, was so viel bedeutet wie betrachten, spekulieren oder anschauen. Neben seiner „theoretischen“ Bedeutung hat der Akt des Durch-Sehen-Erfassens auch eine sehr wörtliche Bedeutung in der Geschichte der Kriegsführung, bewaffneter Konflikte und Überwachung. Von Paul Virilios „Krieg und Kino“ (1984, 1986) bis zu Eyal Weizmans „Forensic Architecture“ (2017) sind die „Bilder der Welt und die Inschrift des Krieges“ (Harun Farocki 1989) untrennbar miteinander verbunden. Im Schnittpunkt von Philosophie, Kritischer Theorie, Kulturwissenschaften, Psychoanalyse und Technikgeschichte untersucht dieses Seminar die gewalttätige Asymmetrie, Inkonsistenz und Nicht-Identität von „Auge und Blick“ (Jacques Lacan 1964, 1978), Sehen und Gesehenwerden, Sicht und Perspektive. As the history of critical theory has shown, vision is never neutral. Visual models of knowledge and epistemologies of vision inform, express and enact structures of power, domination, and violence. And conversely, critical and anti-hegemonic theories have challenged these structures by insisting on “partial perspectives” (Donna Haraway 1988), addressing the epistemic violence inscribed in the reifying gaze of the ruling (political) economy and dominant scientific vision. These debates remind us that “theory” originates from the Greek root “theorein,” meaning to consider, speculate, or look at. Besides its “theoretical” meaning, the act of grasping by vision has also a very literal meaning in the history of warfare, armed conflict and surveillance. From Paul Virilio’s “War and Cinema” (1984) to Eyal Weizman’s “Forensic Architecture” (2017), “Images of the World and the Inscription of War” (Harun Farocki 1989) cannot be separated. Relying on philosophy, critical theory, cultural studies, psychoanalysis and history of technology, this seminar explores the violent asymmetry, inconsistency and non-identity of “eye and gaze” (Jacques Lacan 1964, 1978), seeing and being seen, vision and perspective. Seminar language: English and/or German, depending on students' preference and capacity",29.04.2025,22.07.2025,14:00 - 17:00,"29.04., 13.05., 27.05., 10.06., 24.06., 08.07., 22.07.",Leistungsschein Kunst- und Medienphilosophie,skhatib(at)hfg-karlsruhe.de
2025ss,Politische Philosophie und das Ästhetische,Sami Khatib,Art Research and Media Philosophy,R. 112,"Dieses Einführungsseminar diskutiert den Zusammenhang von Politik, Ästhetik und Gesellschaft entlang von kritischen Begriffen, die seit dem 18. Jahrhundert die politische Philosophie geprägt haben. Politische Philosophie ist nach traditioneller Geschichtsschreibung mindestens so alt wie Platons „Politeia“ (ca. 375 BC), doch erst seit dem philosophischen Diskurs der Moderne erscheint das Ästhetische als eigenständiger Gegenstand, Gegenstandsbereich und Problemfeld in der Philosophie. Wir beginnen mit der These, dass es das Aufkommen des Ästhetischen ist, das das eigentlich „Moderne“ der politischen Philosophie ausmacht. Diese Verschränkung ist folgenreich. Spätestens seit Alexander Baumgartens „Aesthetica“ (1750) und Immanuel Kants „Kritik der Urteilskraft“ (1790) lassen sich das Ästhetische als Herausforderung für eine philosophische Diskussion des Politischen sowie das Politische als (Ana)Thema der philosophischen Ästhetik begreifen. Im Zeitalter des Industriekapitalismus nach 1900 werden Kunstautonomie und die Eigenständigkeit des Ästhetischen allerdings prekär; das Politische greift in die Erfahrungswelt des Ästhetischen ein, zugleich droht der Politik die „Ästhetisierung“ (Walter Benjamin 1935/36). Technik, Beschleunigung und Warenförmigkeit verlangen nach neuen politischen Begriffen, die das klassische Verständnis von Ästhetik in der Nachfolge von Kant, Romantik und Hegel revidieren: feministische, marxistische, postkoloniale und psychoanalytische Diskurse eint der Versuch, das Ästhetische auch in seiner politischen Reichweite sowie das Politische in seiner ästhetischen Dimension zu diskutieren. This introductory seminar discusses the nexus of politics, aesthetics and society along critical concepts that shaped political philosophy since the 18th century. According to traditional historiography, political philosophy is at least as old as Plato's “Republic” (ca. 375 BC), but it is only since the philosophical discourse of modernity that the aesthetic appeared as an independent object, subject area and problem field in philosophy. We begin with the thesis that it is the emergence of the aesthetic that makes political philosophy “modern” in the strict sense. This entanglement has consequences. Ever since Alexander Baumgarten's “Aesthetica” (1750) and Immanuel Kant's “Critique of the Power of Judgment” (1790), the aesthetic poses a challenge for a philosophical discussion of the political, and, conversely, the political can be understood as (ana)thema of philosophical aesthetics. In the age of industrial capitalism after 1900, however, the autonomy of art and the independence of the aesthetic became precarious; the political intervened in the experiential world of the aesthetic, while at the same time politics was threatened with “aestheticization” (Walter Benjamin 1935/36). Technology, acceleration and commodification call for new political concepts that revise the classical understanding of aesthetics in the wake of Kant, Romanticism and Hegel: feminist, Marxist, post-colonial and psychoanalytical discourses are united in their attempt to also discuss the aesthetic in its political scope as well as the political in its aesthetic dimension. Seminar language: English and/or German, depending on students' preference and capacity",30.04.2025,23.07.2025,14:00 - 17:00,"30.04., 14.05., 28.05., 11.06., 25.06., 09.07., 23.07.",Leistungsschein Kunst- und Medienphilosophie,skhatib(at)hfg-karlsruhe.de
2025ss,Computed Discourses,Pierre Depaz,Art Research and Media Philosophy,"R. 115 (08.05., 27.05., 28.05., 10.06., 11.06.) und R. 112 (09.05.)","This course investigates the relationships between language and computers. It does so by addressing the entanglements of human-to-human interfaces, human-to-machine programs and machine-to-machine protocols. Through readings in media studies—specifically software studies—and short programming experiments, we will discuss how computing technologies can be used to frame what we say, and how we say it, and therefore question the extent to which our discourses are technologically determined. The theoretical part will start from the computer’s linguistic abilities. As a machine that manipulates symbols to represent other machines, and allows the processing of any kinds of messages, how did it get there, and how effective is it? We will see how such a conception was constructed at the expense of meaning and materiality, and consider how interfaces attempt to recreate both meaning and materiality. The practical part will involve short programming exercises, in order to illustrate the realities of computer writing, as well as a final essay written on a web platform. However, no previous programming experience will be assumed.",08.05.2025,11.06.2025,10:00 - 18:00,"08. - 09.05., 27. - 28.05.,10. - 11.06.",Leistungsschein Kunst- und Medienphilosophie,pdepaz(at)hfg-karlsruhe.de
2025ss,Die Avantgarden New Yorks: Vom Abstrakten Expressionismus zur Minimal Art,Julia Modes,Art Research and Media Philosophy,R. 112,"Als Robert Rauschenberg im Juni 1964 den Goldenen Löwen für Malerei auf der Venedig Biennale gewann, schien New York endgültig Paris als Kunsthauptstadt der Welt abgelöst zu haben. Das Seminar nimmt verschiedene Kunstströmungen, Institutionen, ProtagonistInnen und Diskurse im New York der 1950–80er Jahre in den Blick, um die amerikanische Moderne in ihren verschiedenen Facetten zu beleuchten. Dabei werden Werke des Abstrakten Expressionismus, der Pop Art, Minimal Art, Land Art, Konzeptkunst sowie feministische Werke der Zeit betrachtet und im Hinblick auf Schlüsseltexte besprochen. Im Rahmen des Seminars findet eine eintägige Exkursion nach München zur Ausstellung 'Fünf Freunde. John Cage, Merce Cunningham, Jasper Johns, Robert Rauschenberg, Cy Twombly' am 29. Mai statt, sowie optional eine Exkursion nach New York vom 26.-31. August. Mittwochs 10:00–13:00 Uhr Je nach Bedarf wird das Seminar auf Deutsch oder auf Englisch stattfinden. When Robert Rauschenberg won the Golden Lion for Painting at the Venice Biennale in June 1964, New York seemed to have finally replaced Paris as the art capital of the world. The seminar looks at various art movements, institutions, protagonists and discourses in and around the city of New York in the 1950–80s, in order to shed light on American modernism in its various facets. Works of Abstract Expressionism, Pop Art, Minimal Art, Land Art, Conceptual Art as well as various feminist works of the time will be examined and discussed with regard to key texts. The seminar includes a one-day excursion to Munich to see the exhibition 'Five Friends. John Cage, Merce Cunningham, Jasper Johns, Robert Rauschenberg, Cy Twombly' on May 29 and an optional excursion to New York from August 26.-31. Wednesdays 10:00–13:00 This seminar will be held in English or German, according to the participants' proficiency.",07.05.2025,16.07.2025,10:00 - 13:00,"07.05.: 11:30 - 13:00, 21.05.: 10:00 - 13:00, 29.05.: 14:00 - 18:00 (in München), 04.06.: 10:00 - 13:00, 18.06.: 10:00 - 13:00, 02.07.: 10:00 - 13:00, 16.07.: 10:00 - 13:00",Leistungsschein Kunstwissenschaft,jmodes(at)hfg-karlsruhe.de
2025ss,"Colloquium: Writing Practice, Practising Writing",Simon Sheikh,Art Research and Media Philosophy,R. 111,"In this terms colloquium we will focus on writing, and ths on editing and reading. You will be welcomed to bring your writing samples and questions, writing in progress as well as earlier finished texts, and we will discuss them in the group. This will be a place to develop and discuss your thesis writing and plans, but also other types of writing, regardless of which programme you are studying in. We will thus look at both academic writing and artists writing, as well and the essay form. We will also work with assignments, where we all write a short text based on the same topic/case study and/or same style, to be agreed upon by the group. We also look at more formals aspects, such as outlines, abstracts and notational systems. Writing can be submitted in both English and German. In diesem Semesterkolloquium werden wir uns auf das Schreiben konzentrieren, und zwar auf das Lektorat und das Lesen. Sie sind herzlich eingeladen, Ihre Schreibproben und Fragen mitzubringen, sowohl in Arbeit befindliche als auch bereits fertiggestellte Texte, die wir dann in der Gruppe diskutieren werden. Hier können Sie Ihre Dissertation und Ihre Pläne entwickeln und diskutieren, aber auch andere Arten des Schreibens, unabhängig davon, in welchem Studiengang Sie studieren. Wir werden uns also sowohl mit dem akademischen Schreiben als auch mit dem künstlerischen Schreiben und der Essayform beschäftigen. Wir werden auch mit Aufgaben arbeiten, bei denen wir alle einen kurzen Text zu einem bestimmten Thema/Fallbeispiel und/oder in einem bestimmten Stil schreiben, auf den sich die Gruppe einigen muss. Wir befassen uns auch mit eher formalen Aspekten wie Gliederungen, Zusammenfassungen und Notationssystemen. Die Texte können sowohl auf Englisch als auch auf Deutsch eingereicht werden.",06.05.2025,24.07.2025,14:00 - 17:00 Uhr,"06.05., 13.05., 27.05., 12.06., 26.06., 10.07., 24.07.",Kein Scheinerwerb möglich,ssheikh(at)hfg-karlsruhe.de
2025ss,"Showtime! – A materialist and speculative history of making things public, staging exhibitions, and making worlds.",Simon Sheikh,Art Research and Media Philosophy,R. 115,"This seminar will provide an introduction to modes of display, and what is at stake in staging exhibitions, historically and presently. We will look at the roots of the so-called ’exhibitionary complex’ across disciplines, forms and institutions. How do exhibitions and the staging of things (objects as well as subjects), over theatres, gardens and galleries, attempt to produce certain effects on certain people, write certain histories and unwrite others? Why has certain models gained almost global hegemony (such as the white cube), and how are we to understand the proliferation of the biennale model? Moreover, we will look at not just the show, but also the no show (when things stop, for one reason or another). The three key philosophical terms of investigations shall be presentation, representation, and depresentation. Our case studies will be in the form of critical texts (and thus close readings), as well as specific formats of exhibitioning (and thus typology) and specific, historical exhibitions (and thus reverse engineering) Dieses Seminar bietet eine Einführung in die Formen des Ausstellens und in das, was bei der Inszenierung von Ausstellungen auf dem Spiel steht - historisch und aktuell. Wir werden die Wurzeln des sogenannten ""exhibitonary complex"" in verschiedenen Disziplinen, Formen und Institutionen untersuchen. Wie versuchen Ausstellungen und die Inszenierung von Dingen (Objekten wie auch Subjekten) in Theatern, Gärten und Galerien, bestimmte Wirkungen auf bestimmte Menschen zu erzielen, bestimmte Geschichten zu schreiben und andere ungeschrieben zu lassen? Warum haben bestimmte Modelle eine fast globale Hegemonie erlangt (wie der White Cube), und wie ist die Verbreitung des Biennale-Modells zu verstehen? Außerdem werden wir uns nicht nur mit der Show beschäftigen, sondern auch mit der No-Show (wenn die Dinge aus dem einen oder anderen Grund aufhören). Die drei philosophischen Schlüsselbegriffe der Untersuchung sind Präsentation, Repräsentation und Depräsentation. Unsere Fallstudien werden in Form von kritischen Texten (und damit close readings) sowie spezifischen Ausstellungsformaten (und damit Typologie) und spezifischen, historischen Ausstellungen (und damit Reverse Engineering) durchgeführt.",06.05.2025,24.07.2025,10:00 - 13:00 Uhr,"06.05., 13.05., 27.05., 12.06., 26.06., 10.07., 24.07.",Leistungsschein Kunstwissenschaft,ssheikh(at)hfg-karlsruhe.de
2025ss,"""Medienkunst"", 1950 - heute",Nina Zschocke,Art Research and Media Philosophy,R. 112 (Abendveranstaltungen Lichtbrücke tbc),"Dieser Einführungskurs richtet sich an Studierende in den ersten Semestern ihres Studiums. Im Format einer an Werkbeispielen orientierten Vorlesung bietet diese Lehrveranstaltung einen ersten Überblick über die Geschichte und Theorie der sogenannten „Medienkunst“. Der Schwerpunkt liegt hierbei auf Werken, die sich elektronischer bzw. digitaler Technologien bedienen. Vorgestellt werden künstlerische Beispiele sowie für deren Diskussion und Einordnung relevante Begriffe und Methoden. Ergänzend lesen wir gemeinsam einige Grundlagentexte. In die Lehrveranstaltung eingegliedert ist zudem die Gesprächsreihe „Don18: Gespräche zu Medien und Kunst: Unconventional Computing“ (ca 4 Donnerstage, 18-20 Uhr HfG/ZKM). Ziel ist die Ermutigung der Teilnehmenden zur aktiven Gesprächsbeteiligung. Eine regelmäßige Teilnahme und Schreibübungen oder Kurzvorträge führen zum Leistungsschein Basisl-Lehrveranstaltung Kunstwissenschaft und Medienphilosophie.",08.05.2025,24.07.2025,"Donnerstags 14:00 -16:00 Uhr, Achtung Ausnahmen! Siehe Terminbeschreibung.","Erster Termin, Einführung: Donnerstag 08.05.: 10:30 - 11:30 Uhr. Folgende Donnerstage jeweils 14:00 - 16:00 Uhr, Ausnahmen wegen Feiertagen. + 4 Donnerstagabende jeweils 18:00 - 20:00 Uhr: 15.05., .19.06., 17.07. Weitere Termine werden zu Beginn des Semesters bekannt gegeben.",Leistungsschein Basis-Lehrveranstaltung,nzschocke(at)hfg-karlsruhe.de
